id,name,country,price
19467,Bleu des Causses,France,5.85
19468,Castelo Branco cheese,,5.63
19469,dsafdafda,,2.86
4264,Pecorino Siciliano,Italy,9.25
9931,Provolone,Italy,3.21
19472,Tintern,Wales,4.2
7656,Dolcelatte,Italy,5.37
9871,Pecorino Romano,Italy,2.82
19475,Stracciatella di Bufala,Italy,6.12
19476,Saint Agur Blue,France,6.68
19477,Oltermanni,Finland,5.13
19478,Mizithra cheese,Greece,7.69
19479,Reggianito,Argentina,6.85
19480,Pélardon,France,2.2
19481,Barbara Gilmour,Scotland,2.07
19482,Kernhem,,9.41
19483,Rushan,,3.16
19484,Fromager d'Affinois,France,2.95
19485,Bijou,United States of America,8.32
19486,Beer cheese,,7.07
19487,Shropshire Blue cheese,England,4.57
19488,Basket cheese,Italy,7.54
19489,Neufchâtel,France,5.67
19490,Feta,Greece,2.85
19491,Tenshi Cheese,,2.36
19492,Aura,Finland,4.84
19493,Kefalograviera,Greece,7.44
19494,Scamorza cheese,Italy,6.06
19495,Grana Padano cheese,Italy,6.06
19496,Ossau-Iraty,France,2.56
19497,Bucheron,France,2.97
19498,Carré de l'Est,France,9.73
19499,Strained yoghurt,,1.99
19500,Saloio,,9.19
19501,Urdă,Romania,4.22
19502,Limburger cheese,Netherlands,9.56
6865,Burrata,Italy,1.89
19504,Murol,,6.57
19505,Le Gré des Champs,Canada,4.4
19506,Appenzeller,Switzerland,4.14
19507,Tomme cheese,France,5.79
7763,Durrus Cheese,Republic of Ireland,4.1
19509,Shanklish,,6.05
19510,Beenleigh Blue,England,4.95
19511,Pot cheese,,5.33
19512,Caşcaval,Romania,1.25
19513,Leicester cheese,England,5.44
19514,Roncal cheese,Spain,6.83
19515,Bonchester cheese,Scotland,5.55
6998,Caprino,Italy,4.12
7435,Coulommiers,France,9.34
19518,Fourme d'Ambert,France,3.73
19519,Roomano,Netherlands,8.38
19520,Kadchgall,,3.13
19521,Spinnenkäse,Germany,7.6
19522,Dutch Cheese Markets,Netherlands,9.96
9355,Benedictine,United States of America,8.97
19524,Wedginald,,6.92
19525,Bermuda Triangle,United States of America,7.97
19526,Sbrinz,Switzerland,2.19
19527,Harbourne Blue,England,1.54
19528,Bouq Émissaire,Canada,9.94
19529,Lincolnshire Poacher,England,8.57
19530,Mozzarella di Bufala Campana,Italy,1.34
19531,Caruchon Papillion,,1.19
19532,Caravane cheese,Mauritania,5.73
19533,Anejo Enchilado cheese,,2.41
19534,Stilton,England,3.78
19535,Idiazabal cheese,Spain,2.99
19536,Veldhuizen Greens Creek Cheese,,6.73
19537,Kwaito cheese,South Africa,7.47
19538,Tilsit cheese,Denmark,7.72
19539,Sakura cheese,Japan,7.23
19540,Ilchester Cheese Company,England,9.73
19541,Obatzda,,8.56
19542,Edam,Netherlands,4.45
19543,Requesón,,7.16
19544,St Pat,United States of America,3.48
19545,Little Derby,,9.94
